시간대_매출금액,시간대_유동인구_수,유동인구_수_평균,총_직장_인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,지출_총금액
215391774.0,163307.0,101738.5,984.0,726.0,28.0,4176833.0,824959664.0
117872138.0,134206.0,101738.5,984.0,726.0,28.0,4176833.0,824959664.0
115838913.0,124947.0,101738.5,984.0,726.0,28.0,4176833.0,824959664.0
110108667.0,134393.0,101738.5,984.0,726.0,28.0,4176833.0,824959664.0
59044072.0,95874.0,101738.5,984.0,726.0,28.0,4176833.0,824959664.0
236397593.0,111680.0,141087.15,753.0,683.0,65.0,4127153.0,1067199535.0
334233207.0,225974.0,141087.15,753.0,683.0,65.0,4127153.0,1067199535.0
183092754.0,171621.0,141087.15,753.0,683.0,65.0,4127153.0,1067199535.0
173971770.0,149591.0,141087.15,753.0,683.0,65.0,4127153.0,1067199535.0
157269117.0,171201.0,141087.15,753.0,683.0,65.0,4127153.0,1067199535.0
49173803.0,145450.0,141087.15,753.0,683.0,65.0,4127153.0,1067199535.0
543898883.0,219078.0,293361.65,8521.0,2324.0,45.0,3572474.0,2974273769.0
629305573.0,385975.0,293361.65,8521.0,2324.0,45.0,3572474.0,2974273769.0
295391902.0,356820.0,293361.65,8521.0,2324.0,45.0,3572474.0,2974273769.0
344156589.0,360547.0,293361.65,8521.0,2324.0,45.0,3572474.0,2974273769.0
305815862.0,451903.0,293361.65,8521.0,2324.0,45.0,3572474.0,2974273769.0
206757233.0,410034.0,293361.65,8521.0,2324.0,45.0,3572474.0,2974273769.0
356920107.0,26758.0,40527.25,3984.0,303.0,12.0,5402804.0,736186796.0
476353062.0,57726.0,40527.25,3984.0,303.0,12.0,5402804.0,736186796.0
216897167.0,55609.0,40527.25,3984.0,303.0,12.0,5402804.0,736186796.0
221089180.0,54276.0,40527.25,3984.0,303.0,12.0,5402804.0,736186796.0
188240696.0,63408.0,40527.25,3984.0,303.0,12.0,5402804.0,736186796.0
128647075.0,44651.0,40527.25,3984.0,303.0,12.0,5402804.0,736186796.0
482832669.0,281871.0,414649.1,61667.0,2275.0,95.0,4469794.0,3599412304.0
735379938.0,558909.0,414649.1,61667.0,2275.0,95.0,4469794.0,3599412304.0
491793626.0,584258.0,414649.1,61667.0,2275.0,95.0,4469794.0,3599412304.0
610550007.0,589190.0,414649.1,61667.0,2275.0,95.0,4469794.0,3599412304.0
653041390.0,694456.0,414649.1,61667.0,2275.0,95.0,4469794.0,3599412304.0
189408469.0,513634.0,414649.1,61667.0,2275.0,95.0,4469794.0,3599412304.0
81981228.0,13830.0,23569.75,4934.0,151.0,31.0,4913366.0,129113505.0
136743427.0,36402.0,23569.75,4934.0,151.0,31.0,4913366.0,129113505.0
88247510.0,37209.0,23569.75,4934.0,151.0,31.0,4913366.0,129113505.0
108495302.0,36006.0,23569.75,4934.0,151.0,31.0,4913366.0,129113505.0
111955153.0,36978.0,23569.75,4934.0,151.0,31.0,4913366.0,129113505.0
26869755.0,17240.0,23569.75,4934.0,151.0,31.0,4913366.0,129113505.0
199659213.0,159314.0,212729.4,2779.0,2031.0,11.0,3792530.0,2335650952.0
259351865.0,300797.0,212729.4,2779.0,2031.0,11.0,3792530.0,2335650952.0
145455730.0,249874.0,212729.4,2779.0,2031.0,11.0,3792530.0,2335650952.0
145502373.0,240244.0,212729.4,2779.0,2031.0,11.0,3792530.0,2335650952.0
150490843.0,309991.0,212729.4,2779.0,2031.0,11.0,3792530.0,2335650952.0
109494757.0,282638.0,212729.4,2779.0,2031.0,11.0,3792530.0,2335650952.0
25755827.0,2129.0,5358.4,290.0,17.0,24.0,4255899.1875,801211521.5625
183920773.0,8605.0,5358.4,290.0,17.0,24.0,4255899.1875,801211521.5625
146584455.0,9630.0,5358.4,290.0,17.0,24.0,4255899.1875,801211521.5625
156773897.0,9186.0,5358.4,290.0,17.0,24.0,4255899.1875,801211521.5625
161068486.0,7497.0,5358.4,290.0,17.0,24.0,4255899.1875,801211521.5625
0.0,2756.0,5358.4,290.0,17.0,24.0,4255899.1875,801211521.5625
