시간대_매출금액,기준_년,기준_분기,시간대,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액
286686435.0,2021,1,4,1,2,3120193,23,11680.0,0,11680545.0,14,145488.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0
222992665.0,2021,1,3,1,2,3120193,23,11680.0,0,11680545.0,14,144673.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0
280173512.0,2021,1,2,1,2,3120193,23,11680.0,0,11680545.0,14,142952.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0
254828692.0,2021,1,1,1,2,3120193,23,11680.0,0,11680545.0,14,144664.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0
68790206.0,2021,1,0,1,2,3120193,23,11680.0,0,11680545.0,14,93479.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0
480874935.0,2021,1,5,1,2,3120194,46,11680.0,0,11680531.0,3,188571.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0
635175974.0,2021,1,4,1,2,3120194,46,11680.0,0,11680531.0,3,343537.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0
371395261.0,2021,1,3,1,2,3120194,46,11680.0,0,11680531.0,3,330102.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0
432340912.0,2021,1,2,1,2,3120194,46,11680.0,0,11680531.0,3,330372.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0
417402387.0,2021,1,1,1,2,3120194,46,11680.0,0,11680531.0,3,418169.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0
248555613.0,2021,1,0,1,2,3120194,46,11680.0,0,11680531.0,3,337679.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0
46201123.0,2021,1,5,1,2,3120195,37,11680.0,0,11680545.0,14,70452.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0
78076728.0,2021,1,4,1,2,3120195,37,11680.0,0,11680545.0,14,191120.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0
67879893.0,2021,1,3,1,2,3120195,37,11680.0,0,11680545.0,14,171830.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0
73245518.0,2021,1,2,1,2,3120195,37,11680.0,0,11680545.0,14,157889.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0
