,기준년코드,기준분기코드,행정동코드,행정동코드명,임대시세층구분코드,임대시세층구분명,보증금평균,월임대료평균,환산임대료평균,임대건수
235,2021,4,11680720,일원본동,1,1층,3821522.0,168902.0,207117.0,31.0
236,2021,4,11680630,대치4동,2,1층외,2212657.0,91802.0,113928.0,317.0
237,2021,4,11680565,청담동,2,1층외,1744166.0,101733.0,119175.0,353.0
238,2021,4,11680656,도곡2동,1,1층,2734406.0,178002.0,205346.0,64.0
239,2021,4,11680655,도곡1동,1,1층,2906292.0,150944.0,180007.0,68.0
240,2021,4,11680700,세곡동,1,1층,3533031.0,141588.0,176918.0,98.0
241,2021,4,11680660,개포1동,2,1층외,1337689.0,58817.0,72194.0,12.0
242,2021,4,11680750,수서동,2,1층외,1369669.0,91001.0,104697.0,63.0
243,2021,4,11680656,도곡2동,2,1층외,1998214.0,108308.0,128290.0,136.0
244,2021,4,11680580,삼성1동,1,1층,2170767.0,133965.0,155673.0,85.0
245,2021,4,11680640,역삼1동,1,1층,1951501.0,139022.0,158537.0,417.0
246,2021,4,11680521,논현1동,1,1층,2134214.0,145732.0,167075.0,233.0
247,2021,4,11680600,대치1동,1,1층,3644649.0,203187.0,239634.0,68.0
248,2021,4,11680590,삼성2동,1,1층,2450061.0,148427.0,172928.0,149.0
249,2021,4,11680600,대치1동,2,1층외,2709828.0,113026.0,140124.0,76.0
250,2021,4,11680510,신사동,2,1층외,1676606.0,88470.0,105236.0,344.0
251,2021,4,11680670,개포2동,1,1층,2593453.0,135746.0,161681.0,80.0
252,2021,4,11680650,역삼2동,1,1층,2783971.0,158985.0,186824.0,136.0
253,2021,4,11680740,일원2동,1,1층,4175038.0,225108.0,266858.0,15.0
254,2021,4,11680521,논현1동,2,1층외,1390652.0,90695.0,104602.0,380.0
255,2021,4,11680655,도곡1동,2,1층외,1779462.0,82667.0,100462.0,87.0
256,2021,4,11680670,개포2동,2,1층외,4663433.0,87231.0,133865.0,54.0
257,2021,4,11680690,개포4동,1,1층,1514490.0,83535.0,98680.0,119.0
258,2021,4,11680750,수서동,1,1층,3127359.0,153934.0,185207.0,35.0
259,2021,4,11680650,역삼2동,2,1층외,1911354.0,117899.0,137012.0,270.0
260,2021,4,11680590,삼성2동,2,1층외,1984455.0,105552.0,125396.0,250.0
261,2021,4,11680610,대치2동,1,1층,3043189.0,175499.0,205930.0,151.0
262,2021,4,11680730,일원1동,1,1층,2113019.0,110493.0,131623.0,80.0
263,2021,4,11680660,개포1동,1,1층,1591068.0,139215.0,155125.0,9.0
264,2021,4,11680720,일원본동,2,1층외,1498267.0,67616.0,82599.0,25.0
265,2021,4,11680580,삼성1동,2,1층외,2027206.0,220507.0,240779.0,235.0
266,2021,4,11680545,압구정동,1,1층,3473914.0,180697.0,215436.0,187.0
267,2021,4,11680630,대치4동,1,1층,3269054.0,169594.0,202284.0,188.0
268,2021,4,11680690,개포4동,2,1층외,2241580.0,53629.0,76045.0,111.0
269,2021,4,11680740,일원2동,2,1층외,2537311.0,67030.0,92403.0,48.0
270,2021,4,11680510,신사동,1,1층,2716579.0,163498.0,190664.0,182.0
271,2021,4,11680545,압구정동,2,1층외,1895752.0,88273.0,107231.0,280.0
272,2021,4,11620685,신사동,1,1층,1528608.0,96513.0,111799.0,119.0
273,2021,4,11680700,세곡동,2,1층외,3747075.0,86525.0,123995.0,93.0
274,2021,4,11680610,대치2동,2,1층외,1358911.0,100481.0,114071.0,252.0
275,2021,4,11620685,신사동,2,1층외,1316635.0,50236.0,63402.0,55.0
276,2022,1,11620685,신사동,0,전체층,1452531.0,81829.0,96354.0,170.0
277,2022,1,11620685,신사동,1,1층,1504193.0,100736.0,115778.0,116.0
278,2022,1,11620685,신사동,2,1층외,1341553.0,41213.0,54629.0,54.0
279,2022,1,11680510,신사동,0,전체층,2111518.0,118549.0,139665.0,488.0
280,2022,1,11680510,신사동,1,1층,2900916.0,174628.0,203637.0,164.0
281,2022,1,11680510,신사동,2,1층외,1711946.0,90164.0,107283.0,324.0
282,2022,1,11680521,논현1동,0,전체층,1750188.0,114864.0,132366.0,541.0
283,2022,1,11680521,논현1동,1,1층,2275703.0,147690.0,170447.0,207.0
284,2022,1,11680521,논현1동,2,1층외,1424494.0,94520.0,108765.0,334.0
285,2022,1,11680531,논현2동,0,전체층,1419540.0,110675.0,124871.0,583.0
286,2022,1,11680531,논현2동,1,1층,1859028.0,137011.0,155602.0,203.0
287,2022,1,11680531,논현2동,2,1층외,1184761.0,96606.0,108454.0,380.0
288,2022,1,11680545,압구정동,0,전체층,2371810.0,123098.0,146816.0,418.0
289,2022,1,11680545,압구정동,1,1층,3324455.0,179874.0,213119.0,164.0
290,2022,1,11680545,압구정동,2,1층외,1756716.0,86440.0,104007.0,254.0
291,2022,1,11680565,청담동,0,전체층,2053566.0,116750.0,137285.0,432.0
292,2022,1,11680565,청담동,1,1층,2381648.0,164037.0,187854.0,126.0
293,2022,1,11680565,청담동,2,1층외,1918474.0,97278.0,116463.0,306.0
294,2022,1,11680580,삼성1동,0,전체층,2003450.0,193510.0,213544.0,287.0
295,2022,1,11680580,삼성1동,1,1층,2126322.0,158402.0,179666.0,76.0
296,2022,1,11680580,삼성1동,2,1층외,1959192.0,206155.0,225747.0,211.0
297,2022,1,11680590,삼성2동,0,전체층,2317650.0,129189.0,152365.0,360.0
298,2022,1,11680590,삼성2동,1,1층,2544787.0,150897.0,176345.0,134.0
299,2022,1,11680590,삼성2동,2,1층외,2182976.0,116318.0,138147.0,226.0
300,2022,1,11680600,대치1동,0,전체층,2852542.0,160443.0,188968.0,125.0
301,2022,1,11680600,대치1동,1,1층,3248376.0,207520.0,240004.0,61.0
302,2022,1,11680600,대치1동,2,1층외,2475263.0,115572.0,140325.0,64.0
303,2022,1,11680610,대치2동,0,전체층,2039967.0,118145.0,138545.0,347.0
304,2022,1,11680610,대치2동,1,1층,3038333.0,160879.0,191262.0,124.0
305,2022,1,11680610,대치2동,2,1층외,1484821.0,94383.0,109231.0,223.0
306,2022,1,11680630,대치4동,0,전체층,2247372.0,120094.0,142567.0,465.0
307,2022,1,11680630,대치4동,1,1층,2697939.0,167875.0,194854.0,174.0
308,2022,1,11680630,대치4동,2,1층외,1977961.0,91523.0,111303.0,291.0
309,2022,1,11680640,역삼1동,0,전체층,1497787.0,135455.0,150432.0,1246.0
310,2022,1,11680640,역삼1동,1,1층,2045038.0,141538.0,161989.0,373.0
311,2022,1,11680640,역삼1동,2,1층외,1263967.0,132855.0,145495.0,873.0
312,2022,1,11680650,역삼2동,0,전체층,2252853.0,126945.0,149473.0,352.0
313,2022,1,11680650,역삼2동,1,1층,2932536.0,154476.0,183802.0,108.0
314,2022,1,11680650,역삼2동,2,1층외,1952010.0,114758.0,134279.0,244.0
315,2022,1,11680655,도곡1동,0,전체층,2312221.0,110523.0,133646.0,144.0
