기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20223,A,골목상권,3110697,개봉3동주민센터,511491,237526,273965,82802,50932,68902,85198,77413,146247,130704,99551,58457,63575,93510,65695,70421,68422,67864,68265,68894,81833,85791
20223,A,골목상권,3110696,오류동역 1번,582387,271784,310603,66273,76825,98306,92058,88215,160709,167215,116214,58588,60266,97175,82929,81817,79495,79124,79334,79950,89745,92919
20223,A,골목상권,3110695,개봉1동주민센터,1612448,774075,838372,204402,178831,242390,248087,260470,478266,525253,313961,159879,161472,240304,211580,229909,225555,222528,222109,223187,241490,247670
20223,A,골목상권,3110694,세곡초등학교,1825222,859999,965222,328028,210296,244934,272671,304586,464707,514968,370119,198932,198949,293384,248871,262484,255538,253545,254482,256576,267574,275021
20223,A,골목상권,3110693,오류동역 4번,97134,45418,51716,7665,16232,25888,14315,11275,21758,32970,18991,8216,8307,14059,14594,13986,13773,13824,13724,13607,13899,14319
20223,A,골목상권,3110692,큰굴다리,1001387,473131,528256,145468,118303,154534,156288,153072,273720,288859,204141,103088,106848,163383,135068,141521,137743,136896,137750,137707,151841,157929
20223,A,골목상권,3110691,개봉중학교,693652,319350,374301,127081,72795,81102,98262,116281,198131,208603,147502,77444,70832,97476,91794,100814,98929,98426,99022,98470,97974,100018
20223,A,골목상권,3110690,오류2동버들시장,1883607,873218,1010389,203677,287441,357567,284110,260920,489893,551547,395090,195280,186233,295678,259778,266294,265621,267173,266079,262788,270928,284722
20223,A,골목상권,3110689,오류동역 3번,638595,298259,340337,96883,95234,97889,93389,92558,162642,166400,126083,72563,74057,112900,86592,89058,88171,87742,87910,87697,96573,101443
20223,A,골목상권,3110688,오류지구대,936804,441651,495153,127175,127110,155571,143416,147193,236337,246535,186726,98169,100352,166551,138473,131199,130266,129657,130064,130363,139258,145999
20223,A,골목상권,3110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",53982,25698,28284,10856,4861,8208,9029,7925,13102,7477,11168,8069,8744,12221,6303,7515,7393,7372,7519,7542,8289,8352
20223,A,골목상권,3110686,수궁동주민센터,745001,343710,401290,133594,88998,103005,121504,123041,174861,196435,147577,80840,82315,134404,103429,102046,101537,102976,101388,103053,108090,125911
20223,A,골목상권,3110685,금강수목원아파트,89988,41282,48706,17548,9362,13593,14300,14066,21120,27624,20263,8525,8308,12771,12498,12666,12378,12327,12357,12318,13674,14268
20223,A,골목상권,3110684,서울공연예술고등학교,62474,30207,32268,9968,6692,7977,11726,11416,14695,17854,13342,6265,5889,9751,9375,8945,8906,8775,8851,8561,8909,9525
20223,A,골목상권,3110683,오류고등학교,271343,122955,148388,60121,28442,35798,44130,39829,63024,75767,60424,30804,29501,41116,33732,39427,39192,38994,38800,37305,38096,39530
20223,A,골목상권,3110682,온수역 8번,14530,7050,7481,3406,1557,1894,2207,2075,3390,2744,3234,2120,2216,2598,1618,2108,2133,2140,2133,2069,1991,1958
20223,A,골목상권,3110681,온수역 1번,28076,13465,14611,5047,3913,4402,4354,4022,6338,6684,6309,3362,3469,4706,3546,4057,4124,4150,4088,3942,3849,3864
20223,A,골목상권,3110680,온수역 5번(온수산업단지),213793,105571,108223,29826,23851,36747,38362,31490,53515,46594,44434,26398,27485,39888,28996,31156,31338,31126,31147,30987,29290,28748
20223,A,골목상권,3110679,염창역 2번,221071,106737,114336,24140,35722,50161,39163,27532,44354,49007,46396,28481,28491,40325,28372,31309,31290,31142,31349,31703,31757,32522
20223,A,골목상권,3110678,염창무학아파트,202233,96534,105699,35543,23073,40834,36136,25449,41199,54604,39854,21979,22548,33470,29779,29123,28981,28549,28712,28731,29206,28930
20223,A,골목상권,3110677,등촌역 1번,181505,82045,99461,25391,28117,44823,29789,22122,31264,46774,37343,21936,22611,29961,22882,26299,25998,25941,25929,25670,25831,25836
20223,A,골목상권,3110676,등촌역 7번,406614,184653,221961,54072,61811,96930,63469,48673,81660,129863,88724,40433,36278,52647,58669,59683,59472,59224,58905,58317,54816,56197
20223,A,골목상권,3110675,화곡4동주민센터,1644027,749630,894397,343882,186595,267045,269672,207130,369706,533877,351040,169666,152791,215605,221049,239374,234028,235387,234105,231973,230793,238369
20223,A,골목상권,3110674,강서구청가양동별관,57286,27476,29810,5115,6999,13078,10242,8142,13710,10224,12310,8525,9141,10441,6647,8301,8443,8437,8382,8303,7759,7661
20223,A,골목상권,3110673,뜸부기어린이공원,647988,319443,328545,77067,86230,105917,107682,103387,167704,164221,126253,70672,74362,117959,94520,90965,89407,89188,89647,90179,97970,100633
