기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20222,A,골목상권,3110056,신당역 3번,2376257.0,5.0,2345870071.0,632466002.0,281949452.0,174230514.0,311766320.0,376388083.0,87615592.0,72299557.0,311124690.0,98029861.0
20222,A,골목상권,3110057,황학코아루아파트,3108300.0,7.0,995897832.0,233516756.0,127728881.0,90805503.0,111060178.0,174659486.0,52296797.0,31042688.0,132630535.0,42157008.0
20222,A,골목상권,3110058,성심여자고등학교,2911566.0,6.0,2194575007.0,580693472.0,261192202.0,159800772.0,285064291.0,354565222.0,79535757.0,66220604.0,316889384.0,90613303.0
20222,A,골목상권,3110059,새남터성지,3266131.0,7.0,1460700558.0,366835488.0,178477000.0,109474725.0,192936478.0,261664571.0,55255550.0,42078213.0,190614346.0,63364187.0
20222,A,골목상권,3110060,효창공원앞역 6번,2822548.0,6.0,1779795689.0,435798812.0,219530963.0,137139826.0,217431175.0,314883609.0,70910805.0,53594392.0,253858628.0,76647479.0
20222,A,골목상권,3110061,효창동주민센터,2979262.0,6.0,2000862980.0,503189353.0,243394659.0,149582840.0,250239365.0,334737190.0,80000080.0,59762375.0,297207364.0,82749754.0
20222,A,골목상권,3110062,한강로동땡땡거리(은행나무길),2774795.0,6.0,776318976.0,225567320.0,91651117.0,60078552.0,113168669.0,119872012.0,27908314.0,25045946.0,80864121.0,32162925.0
20222,A,골목상권,3110063,효창공원앞역 5번,3009124.0,7.0,1162886145.0,329263699.0,138607177.0,88923975.0,159265539.0,178982243.0,40668913.0,37516070.0,140590898.0,49067631.0
20222,A,골목상권,3110064,효창공원앞역 2번,3243655.0,7.0,1617004489.0,386192642.0,202930309.0,124063453.0,188382611.0,282502224.0,68962027.0,48711011.0,245979507.0,69280705.0
20222,A,골목상권,3110065,남정초등학교,2695366.0,6.0,115479057.0,31103732.0,14047881.0,8905939.0,15604851.0,19471628.0,4110983.0,3561799.0,13529692.0,5142552.0
20222,A,골목상권,3110066,서울역 15번,2448662.0,6.0,1451433018.0,416007598.0,173659976.0,108110748.0,194339282.0,216376528.0,48684509.0,47923937.0,184178258.0,62152182.0
20222,A,골목상권,3110067,배문고등학교,2637062.0,6.0,4042325194.0,1036105531.0,499274272.0,310061190.0,499155570.0,667066070.0,158605506.0,127349636.0,571044462.0,173662957.0
20222,A,골목상권,3110068,남영역 1번,3433048.0,7.0,1394945162.0,382246487.0,168050285.0,106440387.0,180527082.0,219462373.0,49502753.0,45662605.0,183982226.0,59070964.0
20222,A,골목상권,3110069,숙대입구,2684434.0,6.0,2091408330.0,498418331.0,279778736.0,134705770.0,258224199.0,257903280.0,72275734.0,80825053.0,402374400.0,106902827.0
20222,A,골목상권,3110070,용산세무서,3782576.0,8.0,126079583.0,34073387.0,14892595.0,10529011.0,17353075.0,20290178.0,4705648.0,3880514.0,15106129.0,5249046.0
20222,A,골목상권,3110071,한강미주맨션아파트,5482498.0,9.0,160286532.0,35433395.0,21324553.0,12638482.0,18903387.0,29543269.0,9465966.0,4380374.0,22028970.0,6568136.0
20222,A,골목상권,3110072,열정도,1916818.0,4.0,164351561.0,44526761.0,19973868.0,13145753.0,21541325.0,26465256.0,6115082.0,5319387.0,20143765.0,7120364.0
20222,A,골목상권,3110073,삼각지역 3번,3647990.0,7.0,171521415.0,43749876.0,21943964.0,15234297.0,19776991.0,29731593.0,7350953.0,6003938.0,19930334.0,7799469.0
20222,A,골목상권,3110074,서울역 12번,2756400.0,6.0,1534781017.0,425999627.0,187706508.0,122848387.0,212047663.0,247474506.0,62216818.0,48990300.0,162671292.0,64825916.0
20222,A,골목상권,3110075,숙대입구역 1번,2703737.0,6.0,1617334839.0,440731591.0,199156513.0,126578532.0,213181391.0,264881440.0,59972887.0,52528153.0,188823418.0,71480914.0
20222,A,골목상권,3110076,삼각지역 14번,2029858.0,5.0,12729189.0,5129554.0,1238656.0,888457.0,2662688.0,1098689.0,320212.0,436844.0,570686.0,383403.0
20222,A,골목상권,3110077,삼광초등학교,2851272.0,6.0,701686243.0,180714361.0,84486019.0,50966145.0,88543620.0,114926382.0,26131107.0,21179380.0,105472097.0,29267132.0
20222,A,골목상권,3110078,이촌동점보아파트,6369714.0,9.0,280907628.0,61095805.0,36774894.0,22996143.0,33280392.0,51853622.0,16371127.0,7597343.0,39599390.0,11338912.0
20222,A,골목상권,3110079,후암동주민센터,3120023.0,7.0,5816513606.0,1410768659.0,714102151.0,434126583.0,696586306.0,999149137.0,233254733.0,172685484.0,910518641.0,245321912.0
20222,A,골목상권,3110080,해방촌예술마을,2584702.0,6.0,1988754967.0,529784541.0,238416330.0,147894127.0,256979687.0,317476083.0,73561741.0,61516792.0,280660706.0,82464960.0
20222,A,골목상권,3110081,해방촌 남동측,2556761.0,6.0,1722026054.0,467370190.0,205032792.0,126802790.0,221642774.0,276523836.0,58080158.0,55217523.0,239027390.0,72328601.0
20222,A,골목상권,3110082,용산구청,2938264.0,6.0,793578005.0,190937351.0,99208962.0,66710328.0,93880644.0,138010670.0,34739575.0,24618116.0,111574529.0,33897830.0
20222,A,골목상권,3110083,서빙고역 1번,2562932.0,6.0,458293529.0,113796381.0,54662880.0,36091904.0,57396477.0,76485131.0,18391705.0,13576808.0,69503383.0,18388860.0
20222,A,골목상권,3110084,경리단길북측,2766235.0,6.0,1886525027.0,502584517.0,230523566.0,150249407.0,238789970.0,309002772.0,71797673.0,61550728.0,240863870.0,81162524.0
